datetime_utc, _tempm
6/2/2021 0:10,20.94
6/2/2021 1:11,20.92
6/2/2021 2:10,20.94
6/2/2021 3:11,20.92
6/2/2021 4:10,23.17
6/2/2021 5:10,22.95
6/2/2021 6:10,22.99
6/2/2021 7:10,23.06
6/2/2021 8:10,22.56
6/2/2021 9:10,22.4
6/2/2021 10:10,22.53
6/2/2021 11:10,22.4
6/2/2021 12:10,22.36
6/2/2021 13:10,22.48
6/2/2021 14:10,22.34
6/2/2021 15:10,22.85
6/2/2021 16:10,22.85
6/2/2021 17:10,22.47
6/2/2021 18:10,22.11
6/2/2021 19:10,22.82
6/2/2021 20:10,22.84
6/2/2021 21:10,22.56
6/2/2021 22:10,22.37
6/2/2021 23:10,22.63
6/3/2021 0:10,22.74
6/3/2021 1:10,22.56
6/3/2021 2:10,23.13
6/3/2021 3:11,22.64
6/3/2021 4:10,22.68
6/3/2021 5:10,23.05
6/3/2021 6:10,23.04
6/3/2021 7:10,23.21
6/3/2021 8:10,23.36
6/3/2021 9:10,23.46
6/3/2021 10:10,23.53
6/3/2021 11:10,23.03
6/3/2021 12:10,22.8
6/3/2021 13:10,22.63
6/3/2021 14:10,22.66
6/3/2021 15:10,22.48
6/3/2021 16:10,22.61
6/3/2021 17:10,22.25
6/3/2021 18:10,22.42
6/3/2021 19:17,22.35
6/3/2021 20:10,22.79
6/3/2021 21:13,22.4
6/3/2021 22:10,22.35
6/3/2021 23:10,22.69
6/4/2021 0:10,22.42
6/4/2021 1:12,22.4
6/4/2021 2:10,22.97
6/4/2021 3:10,23.14
6/4/2021 4:10,22.7
6/4/2021 5:10,22.84
6/4/2021 6:10,22.84
6/4/2021 7:10,23.42
6/4/2021 8:10,23.32
6/4/2021 9:15,23.48
6/4/2021 10:10,23.29
6/4/2021 11:10,23.27
6/4/2021 12:10,23.09
6/4/2021 13:10,22.73
6/4/2021 14:12,22.76
6/4/2021 15:10,22.83
6/4/2021 16:11,23.01
6/4/2021 17:10,22.74
6/4/2021 18:10,23.35
6/4/2021 19:10,22.66
6/4/2021 20:10,23.32
6/4/2021 21:10,22.84
6/4/2021 22:10,22.56
6/4/2021 23:10,23.11
6/5/2021 0:10,22.54
6/5/2021 1:10,22.75
6/5/2021 2:10,22.84
6/5/2021 3:10,22.7
6/5/2021 4:10,22.9
6/5/2021 5:10,23.04
6/5/2021 6:10,23.11
6/5/2021 7:10,23.28
6/5/2021 8:10,23.48
6/5/2021 9:10,23.21
6/5/2021 10:10,22.9
6/5/2021 11:10,22.72
6/5/2021 12:12,22.6
6/5/2021 13:10,22.65
6/5/2021 14:11,22.61
6/5/2021 15:10,22.71
6/5/2021 16:10,22.58
6/5/2021 17:10,22.78
6/5/2021 18:10,22.77
6/5/2021 19:10,22.7
6/5/2021 20:10,22.86
6/5/2021 21:10,22.61
6/5/2021 22:10,22.81
6/5/2021 23:10,22.57
6/6/2021 0:10,22.29
6/6/2021 1:11,22.55
6/6/2021 2:11,22.43
6/6/2021 3:10,22.59
6/6/2021 4:11,22.64
6/6/2021 5:10,22.73
6/6/2021 6:10,23.16
6/6/2021 7:10,23.13
6/6/2021 8:10,22.68
6/6/2021 9:10,23.09
6/6/2021 10:10,23.47
6/6/2021 11:10,23.11
6/6/2021 12:10,23.17
